"","est","se","gr","cv"
"recDevs_pt.32",-0.0685968420586185,0.0469069101281557,-0.00627069639773659,0.68380567851902
"recDevs_pt.33",-0.238765925900226,0.0472189080055508,-0.00417016839913087,0.197762339108982
"recDevs_pt.34",-0.0340929932255118,0.0451419590736883,-0.00366129529236137,1.3240831855124
"recDevs_pt.35",-0.319256453688641,0.0476052078622578,-0.00243077194669095,0.149112750305387
"recDevs_pt.36",-0.0876569245121201,0.0447880446832377,-0.0134766336067527,0.510947023666624
"recDevs_pt.37",-0.213206328340322,0.0461304410640592,-0.00407943023291857,0.216365252491124
"recDevs_pt.38",-0.0159087806152222,0.0451254677180263,-0.0261289597055194,2.83651329473035
"recDevs_pt.39",-0.0992998813829884,0.0455471390566611,-0.0164103726384495,0.458682713637803
"recDevs_pt.40",-0.0447082577471678,0.0451961424688318,-0.0249084755399318,1.01091263104957
"recDevs_pt.41",-0.219950572840534,0.0475932338476942,-0.00753277923621365,0.216381495319858
"recDevs_pt.42",-0.060704371301637,0.0469687807768689,-0.0245287454889525,0.773729795231441
"recDevs_pt.43",0.0100772374037797,0.0464878866701864,-0.0283030797391721,4.61315783358938
"recDevs_pt.44",0.00863055926024339,0.045449196180354,-0.0304713511354184,5.26607776041994
"recDevs_pt.45",-0.185935825615198,0.045688610194515,-0.0139061629062445,0.24572246926243
"recDevs_pt.46",-0.0808483140057909,0.0456646198008936,-0.0198055327803535,0.564818454935532
"recDevs_pt.47",-0.0340376498599796,0.0456361570991729,-0.0224629762267168,1.34075523095472
"recDevs_pt.48",0.0250083572560026,0.0456768527703081,-0.0227806937323909,1.82646354187637
"recDevs_pt.49",0.0499904770085274,0.0458218448583877,-0.0158398737298695,0.916611474832925
"recDevs_pt.50",-0.0433080200601468,0.0471568464625221,-0.0104605136576925,1.08887098502841
"recDevs_pt.51",-0.0700131620127342,0.0490136554601439,-0.0182481781569583,0.700063445945052
"recDevs_pt.52",-0.107197385125349,0.0503811631791672,-0.0202324950322441,0.469985001222324
"recDevs_pt.53",0.0355832257378413,0.048302251841605,-0.0206807555831778,1.35744443737256
"recDevs_pt.54",-0.307621018531448,0.0519156221607176,-0.00612555122380698,0.16876487311744
"recDevs_pt.55",0.0200574978856212,0.0465439591558247,-0.0190278573313571,2.32052668888431
"recDevs_pt.56",-0.383568768532414,0.0492666554714298,-0.00932045840363127,0.12844282306907
"recDevs_pt.57",0.0742716341990779,0.0448630316661952,-0.0121788824576727,0.604039915776516
